batch_size	lr	frame_length	frame_shift	num_mel_bins	xent	accuracy
64	0.2	25.0	33.0	40	0.2145266483391002	92.96235679214404
64	0.05	19.0	10.0	120	0.23194140244543163	92.98281505728315
64	0.2	25.0	37.0	40	0.22013775963721238	93.04418985270048
64	0.05	25.0	41.0	40	0.2174416169496801	93.06464811783961
64	0.1	25.0	10.0	100	0.20676256630423606	93.10556464811785
64	0.015499523994514512	11.0	10.0	83	0.20964749019404302	93.14648117839607
64	0.2	5.0	10.0	40	0.20682033764965393	93.14648117839607
64	0.05	47.0	10.0	120	0.20082496692201282	93.16693944353518
64	0.1	25.0	27.0	80	0.20579665420528234	93.16693944353518
64	0.05	9.0	10.0	80	0.21074547668541568	93.16693944353518
64	0.2	25.0	27.0	40	0.2027972126486133	93.20785597381342
64	0.1	11.0	10.0	120	0.2063319866356799	93.22831423895254
64	0.05	49.0	10.0	120	0.21613734037146654	93.22831423895254
64	0.05	25.0	23.0	80	0.20857066894863166	93.24877250409165
64	0.1	10.0	10.0	80	0.20352136236585044	93.24877250409165
64	0.1	9.0	10.0	120	0.23373351255857866	93.26923076923077
64	0.1	19.0	10.0	120	0.21069197460637715	93.26923076923077
64	0.2	25.0	35.0	40	0.19749789350526104	93.28968903436989
64	0.05	25.0	21.0	80	0.2026825658079188	93.33060556464812
64	0.2	13.0	10.0	80	0.19356260429215588	93.35106382978722
64	0.1	11.0	10.0	80	0.2020368616954953	93.39198036006546
64	0.1	25.0	23.0	80	0.19801637342236206	93.39198036006546
64	0.2	25.0	29.0	40	0.19726677151287303	93.41243862520459
64	0.05	9.0	10.0	120	0.1994708457511235	93.4328968903437
64	0.05	25.0	27.0	80	0.19334144753957885	93.4328968903437
64	0.1	17.0	10.0	80	0.19805524783708106	93.4328968903437
64	0.1	15.0	10.0	120	0.211120347023692	93.47381342062194
64	0.05	25.0	35.0	40	0.19227437683064613	93.49427168576105
64	0.29392904455350505	10.0	9.0	65	0.20162590479879988	93.51472995090016
64	0.05	27.0	10.0	80	0.20179002530556295	93.5556464811784
64	0.2	25.0	27.0	80	0.19811951162847477	93.57610474631751
64	0.1	25.0	31.0	40	0.19754314362649728	93.57610474631751
64	0.05	7.0	10.0	80	0.20174327685065518	93.59656301145662
64	0.05	43.0	10.0	120	0.20393691910126435	93.63747954173486
64	0.2	35.0	10.0	80	0.20189513302000325	93.63747954173486
64	0.05	13.0	10.0	120	0.19838514339690114	93.65793780687397
64	0.1	25.0	27.0	40	0.186610123900441	93.65793780687397
64	0.05	25.0	11.0	80	0.1988929592900806	93.67839607201309
64	0.2	10.0	10.0	60	0.19916122572289574	93.67839607201309
64	0.2	25.0	21.0	80	0.19788128519095968	93.67839607201309
64	0.05	25.0	9.0	80	0.19560578214674215	93.67839607201309
64	0.03489017454368538	26.0	18.0	50	0.19371329850115465	93.6988543371522
64	0.02077104594230437	36.0	12.0	113	0.1972281676846453	93.71931260229132
64	0.1	49.0	10.0	80	0.1875586430146511	93.71931260229132
64	0.016425904304462884	24.0	24.0	45	0.19624599260795447	93.71931260229132
64	0.1	25.0	33.0	80	0.19831595284365167	93.73977086743044
64	0.05	25.0	10.0	80	0.19305704952844607	93.76022913256956
64	0.2	11.0	10.0	80	0.19253902010668336	93.76022913256956
